entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
0	0.32	0.1	0.13	0.33	0.24	0.06	0.2	0.15	0.09	0.09	0.05
1	0.32	0.04	0.02	0.02	0.24	0.06	0.1	0.01	0.09	0.09	0.05
2	0.68	0.32	0.19	0.37	0.31	0.16	0.35	0.32	0.29	0.17	0.18
3	0.19	0.1	0.05	0.08	0.08	0.08	0.05	0.09	0.05	0.17	0.18
4	0.19	0.09	0.07	0.04	0.08	0.05	0.11	0.07	0.05	0.03	0.18
5	0.19	0.05	0.03	0.04	0.01	0.03	0.01	0.01	0.01	0.03	0.18
6	0.13	0.08	0.12	0.23	0.2	0.1	0.17	0.19	0.07	0.06	0.01
7	0.23	0.18	0.17	0.19	0.15	0.08	0.28	0.17	0.14	0.09	0.01
8	0.23	0.02	0.17	0.08	0.03	0.03	0.02	0.02	0.14	0.09	0.01
9	0.87	0.67	0.57	0.71	0.59	0.57	0.96	0.73	0.59	0.41	0.06
10	0.87	0.04	0.02	0.12	0.08	0.04	0.05	0.04	0.05	0.01	0.06
11	0.29	0.15	0.12	0.21	0.17	0.16	0.13	0.17	0.11	0.06	0.06
12	0.29	0.15	0.12	0.25	0.18	0.16	0.14	0.17	0.11	0.06	0.06
13	0.32	0.22	0.19	0.29	0.21	0.32	0.2	0.25	0.21	0.09	0.05
14	0.29	0.15	0.12	0.25	0.18	0.16	0.14	0.17	0.11	0.06	0.05
15	0.29	0.15	0.12	0.23	0.18	0.16	0.13	0.17	0.11	0.06	0.05
16	0.29	0.16	0.12	0.21	0.17	0.19	0.14	0.18	0.12	0.06	0.02
17	0.61	0.59	0.55	0.79	0.49	0.56	0.58	0.55	0.49	0.35	0.17
18	0.29	0.16	0.12	0.23	0.17	0.17	0.13	0.17	0.11	0.06	0.17
19	0.29	0.17	0.17	0.31	0.18	0.25	0.17	0.21	0.16	0.07	0.17
20	0.29	0.21	0.16	0.4	0.23	0.26	0.22	0.23	0.2	0.07	0.05
21	0.29	0.16	0.13	0.21	0.17	0.17	0.13	0.17	0.15	0.06	0.05
22	0.29	0.15	0.13	0.21	0.18	0.16	0.13	0.18	0.11	0.06	0.05
23	0.1	0.02	0.05	0.19	0.01	0.02	0.03	0.06	0.04	0.06	0.04
24	0.84	0.53	0.49	0.96	0.42	0.54	0.62	0.54	0.44	0.33	0.23
25	0.52	0.33	0.25	0.42	0.25	0.37	0.4	0.33	0.27	0.12	0.06
26	0.52	0.36	0.29	0.58	0.28	0.39	0.43	0.35	0.28	0.12	0.08
27	0.48	0.33	0.25	0.42	0.25	0.37	0.4	0.33	0.27	0.12	0.06
28	0.61	0.34	0.26	0.42	0.31	0.37	0.43	0.33	0.29	0.12	0.06
29	0.52	0.34	0.26	0.48	0.27	0.38	0.41	0.33	0.27	0.12	0.07
30	0.52	0.41	0.31	0.56	0.38	0.47	0.48	0.4	0.31	0.14	0.08
31	0.55	0.36	0.3	0.54	0.35	0.42	0.46	0.36	0.28	0.14	0.08
32	0.48	0.4	0.34	0.5	0.27	0.41	0.36	0.4	0.35	0.25	0.07
33	0.45	0.38	0.34	0.5	0.27	0.42	0.36	0.34	0.34	0.25	0.07
34	0.52	0.39	0.36	0.5	0.28	0.42	0.36	0.35	0.35	0.25	0.07
35	0.45	0.37	0.34	0.5	0.27	0.41	0.36	0.34	0.34	0.25	0.07
36	0.39	0.27	0.17	0.37	0.18	0.44	0.17	0.22	0.24	0.13	0.04
37	0.45	0.37	0.34	0.5	0.27	0.41	0.38	0.35	0.34	0.25	0.07
38	0.55	0.41	0.36	0.5	0.28	0.45	0.39	0.37	0.36	0.25	0.07
39	0.52	0.51	0.42	0.58	0.32	0.53	0.45	0.43	0.42	0.29	0.14
40	0.45	0.38	0.35	0.54	0.31	0.42	0.36	0.35	0.35	0.25	0.07
41	0.35	0.07	0.05	0.15	0.17	0.07	0.1	0.1	0.05	0.01	0.07
42	0.74	0.5	0.43	0.6	0.32	0.5	0.48	0.42	0.4	0.26	0.08
43	0.45	0.41	0.37	0.54	0.28	0.46	0.41	0.39	0.38	0.28	0.07
44	0.45	0.39	0.34	0.5	0.27	0.43	0.38	0.34	0.34	0.25	0.07
45	0.58	0.6	0.57	0.75	0.41	0.72	0.57	0.57	0.53	0.42	0.19
46	0.84	0.68	0.58	0.88	0.92	0.32	0.8	0.57	0.32	0.14	0.13
47	0.13	0.12	0.18	0.15	0.21	0.05	0.23	0.17	0.17	0.14	0.07
48	0.1	0.23	0.22	0.1	0.23	0.22	0.3	0.2	0.18	0.04	0.12
49	0.1	0.1	0.09	0.02	0.08	0.04	0.11	0.1	0.06	0.03	0.12
50	0.1	0.05	0.03	0.04	0.08	0.04	0.04	0.04	0.04	0.03	0.01
51	0.42	0.4	0.19	0.29	0.25	0.12	0.36	0.33	0.28	0.13	0.18
52	0.13	0.07	0.04	0.04	0.04	0.02	0.09	0.06	0.05	0.13	0.18
53	0.48	0.31	0.29	0.38	0.38	0.13	0.51	0.32	0.21	0.1	0.02
54	0.42	0.42	0.43	0.48	0.37	0.2	0.57	0.48	0.38	0.3	0.31
55	0.81	0.51	0.42	0.54	0.44	0.22	0.67	0.57	0.47	0.36	0.29
56	0.32	0.47	0.45	0.42	0.27	0.18	0.47	0.52	0.55	0.48	0.39
57	0.29	0.12	0.15	0.17	0.08	0.12	0.17	0.18	0.14	0.13	0.02
58	0.16	0.13	0.09	0.1	0.14	0.04	0.21	0.1	0.03	0.04	0.02
59	0.06	0.07	0.12	0.17	0.18	0.03	0.17	0.12	0.04	0.07	0.02
60	0.58	0.33	0.3	0.48	0.32	0.25	0.57	0.44	0.33	0.38	0.08
61	0.16	0.01	0.01	0.06	0.07	0.01	0.02	0.03	0.33	0.38	0.08
62	0.68	0.24	0.27	0.42	0.46	0.27	0.45	0.36	0.24	0.25	0.02
63	0.81	0.34	0.32	0.54	0.54	0.44	0.57	0.43	0.3	0.28	0.02
64	0.81	0.29	0.3	0.52	0.56	0.32	0.5	0.39	0.26	0.25	0.04
65	0.77	0.31	0.34	0.62	0.54	0.36	0.55	0.44	0.28	0.25	0.05
66	0.71	0.3	0.29	0.46	0.52	0.33	0.46	0.38	0.26	0.25	0.02
67	0.68	0.24	0.27	0.42	0.48	0.27	0.45	0.36	0.24	0.25	0.02
68	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.36	0.24	0.25	0.02
69	0.65	0.24	0.27	0.44	0.46	0.28	0.45	0.36	0.24	0.25	0.02
70	0.65	0.25	0.27	0.42	0.46	0.27	0.46	0.36	0.24	0.25	0.02
71	0.68	0.24	0.27	0.44	0.48	0.29	0.46	0.36	0.24	0.25	0.02
72	0.71	0.24	0.27	0.42	0.48	0.28	0.45	0.36	0.24	0.25	0.02
73	0.71	0.34	0.35	0.58	0.54	0.4	0.53	0.45	0.3	0.3	0.1
74	0.65	0.24	0.27	0.42	0.48	0.27	0.46	0.36	0.24	0.25	0.02
75	0.68	0.25	0.29	0.44	0.48	0.29	0.46	0.38	0.29	0.28	0.02
76	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.35	0.24	0.25	0.02
77	0.65	0.27	0.29	0.46	0.46	0.33	0.49	0.39	0.27	0.26	0.02
78	0.71	0.35	0.38	0.71	0.54	0.46	0.56	0.5	0.36	0.3	0.12
79	0.84	0.26	0.27	0.46	0.51	0.31	0.46	0.37	0.24	0.25	0.02
80	0.74	0.24	0.27	0.46	0.49	0.29	0.46	0.37	0.24	0.25	0.04
81	0.65	0.24	0.27	0.42	0.46	0.27	0.46	0.35	0.24	0.25	0.02
82	0.71	0.26	0.3	0.42	0.52	0.28	0.49	0.39	0.27	0.28	0.02
83	0.68	0.24	0.27	0.42	0.48	0.28	0.45	0.35	0.24	0.25	0.02
84	0.74	0.35	0.35	0.58	0.49	0.32	0.54	0.4	0.27	0.26	0.06
85	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.35	0.24	0.25	0.02
86	0.65	0.06	0.01	0.04	0.46	0.01	0.08	0.03	0.01	0.25	0.02
87	0.65	0.06	0.01	0.04	0.46	0.0	0.01	0.03	0.01	0.25	0.02
88	0.74	0.28	0.23	0.48	0.48	0.21	0.47	0.35	0.28	0.29	0.06
89	0.13	0.06	0.09	0.17	0.11	0.03	0.07	0.07	0.03	0.03	0.02
90	0.03	0.0	0.01	0.17	0.11	0.01	0.02	0.01	0.02	0.01	0.02
91	0.13	0.01	0.06	0.06	0.01	0.03	0.11	0.1	0.13	0.04	0.01
92	0.03	0.0	0.01	0.06	0.01	0.01	0.01	0.01	0.02	0.01	0.01
93	0.03	0.0	0.01	0.02	0.01	0.0	0.01	0.01	0.02	0.01	0.01
94	0.32	0.09	0.09	0.12	0.17	0.04	0.09	0.09	0.05	0.04	0.01
95	0.32	0.0	0.0	0.12	0.17	0.04	0.09	0.09	0.05	0.04	0.04
96	0.03	0.02	0.04	0.04	0.17	0.02	0.01	0.01	0.01	0.06	0.08
97	0.03	0.04	0.06	0.1	0.06	0.03	0.01	0.03	0.03	0.07	0.27
98	0.13	0.04	0.03	0.1	0.04	0.02	0.04	0.03	0.01	0.03	0.01
99	0.1	0.04	0.05	0.08	0.03	0.01	0.07	0.03	0.04	0.03	0.05
100	0.1	0.0	0.0	0.04	0.03	0.0	0.07	0.01	0.04	0.01	0.05
101	0.1	0.0	0.0	0.04	0.03	0.0	0.07	0.01	0.04	0.01	0.05
102	0.35	0.45	0.47	0.38	0.28	0.39	0.26	0.44	0.36	0.38	0.44
103	0.16	0.11	0.05	0.08	0.06	0.08	0.08	0.09	0.18	0.13	0.02
104	0.13	0.13	0.24	0.29	0.04	0.13	0.18	0.21	0.21	0.41	0.24
105	0.19	0.09	0.18	0.17	0.1	0.09	0.07	0.09	0.12	0.13	0.26
106	0.19	0.0	0.01	0.17	0.1	0.09	0.07	0.01	0.12	0.13	0.01
107	0.1	0.02	0.08	0.06	0.08	0.03	0.06	0.06	0.12	0.01	0.08
108	0.03	0.0	0.05	0.06	0.03	0.03	0.04	0.03	0.06	0.04	0.02
109	0.03	0.0	0.0	0.06	0.03	0.03	0.01	0.01	0.06	0.04	0.05
110	0.42	0.19	0.36	0.37	0.34	0.24	0.3	0.36	0.36	0.35	0.1
111	0.03	0.06	0.04	0.02	0.01	0.03	0.05	0.05	0.05	0.03	0.01
112	0.23	0.39	0.49	0.46	0.21	0.15	0.23	0.38	0.39	0.51	0.52
113	0.39	0.31	0.25	0.25	0.2	0.15	0.25	0.32	0.42	0.38	0.3
114	0.03	0.05	0.13	0.08	0.03	0.06	0.08	0.12	0.13	0.23	0.17
115	0.03	0.04	0.07	0.02	0.03	0.02	0.06	0.05	0.02	0.1	0.1
116	0.35	0.38	0.43	0.5	0.24	0.22	0.29	0.41	0.4	0.49	0.5
117	0.1	0.04	0.08	0.5	0.03	0.02	0.04	0.04	0.07	0.09	0.05
118	0.1	0.13	0.21	0.17	0.04	0.13	0.14	0.14	0.11	0.2	0.24
119	0.06	0.08	0.15	0.1	0.03	0.07	0.05	0.09	0.12	0.22	0.36
120	0.06	0.01	0.0	0.1	0.03	0.0	0.05	0.01	0.03	0.03	0.04
121	0.06	0.05	0.04	0.04	0.03	0.02	0.01	0.04	0.15	0.09	0.02
122	0.06	0.06	0.11	0.12	0.07	0.1	0.06	0.08	0.13	0.16	0.07
123	0.06	0.02	0.01	0.02	0.03	0.02	0.04	0.05	0.07	0.04	0.07
124	0.1	0.1	0.16	0.17	0.1	0.08	0.14	0.14	0.22	0.3	0.13
125	0.1	0.02	0.02	0.02	0.04	0.01	0.01	0.03	0.04	0.01	0.02
126	0.1	0.02	0.03	0.06	0.04	0.01	0.01	0.02	0.06	0.04	0.05
127	0.1	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.06	0.04	0.05
128	0.26	0.3	0.16	0.19	0.18	0.19	0.2	0.27	0.3	0.14	0.18
129	0.26	0.04	0.05	0.12	0.18	0.02	0.06	0.05	0.04	0.03	0.14
130	0.13	0.01	0.03	0.12	0.03	0.01	0.01	0.01	0.02	0.03	0.04
131	0.06	0.04	0.04	0.02	0.03	0.02	0.01	0.04	0.1	0.06	0.05
132	0.06	0.0	0.01	0.02	0.03	0.02	0.01	0.0	0.1	0.06	0.02
133	0.03	0.07	0.05	0.06	0.03	0.04	0.03	0.06	0.16	0.09	0.04
134	0.23	0.2	0.2	0.23	0.23	0.07	0.41	0.22	0.18	0.16	0.08
135	0.29	0.05	0.12	0.23	0.15	0.04	0.19	0.12	0.11	0.07	0.02
136	0.19	0.06	0.13	0.17	0.06	0.02	0.19	0.12	0.08	0.1	0.04
137	0.23	0.25	0.17	0.23	0.2	0.12	0.24	0.28	0.3	0.17	0.19
138	0.06	0.04	0.11	0.12	0.14	0.03	0.15	0.06	0.02	0.03	0.19
139	0.1	0.04	0.01	0.12	0.04	0.03	0.01	0.02	0.02	0.03	0.19
140	0.29	0.02	0.02	0.04	0.06	0.07	0.03	0.06	0.03	0.01	0.19
141	0.23	0.03	0.08	0.12	0.18	0.05	0.13	0.12	0.07	0.12	0.19
142	0.23	0.03	0.01	0.12	0.04	0.05	0.13	0.01	0.07	0.12	0.19
143	0.42	0.09	0.09	0.04	0.18	0.04	0.26	0.14	0.07	0.06	0.01
144	0.42	0.09	0.09	0.04	0.03	0.04	0.26	0.01	0.07	0.06	0.01
145	0.42	0.17	0.2	0.23	0.37	0.09	0.35	0.24	0.12	0.13	0.01
146	0.16	0.08	0.1	0.17	0.18	0.04	0.1	0.1	0.05	0.07	0.01
147	0.19	0.05	0.05	0.02	0.13	0.01	0.15	0.05	0.05	0.03	0.01
148	0.13	0.18	0.15	0.21	0.13	0.04	0.2	0.13	0.07	0.06	0.1
149	0.13	0.05	0.09	0.1	0.11	0.04	0.11	0.09	0.06	0.1	0.1
150	0.1	0.05	0.09	0.1	0.11	0.04	0.11	0.01	0.06	0.1	0.1
151	0.42	0.06	0.17	0.12	0.2	0.08	0.21	0.19	0.07	0.16	0.01
152	0.26	0.11	0.08	0.17	0.17	0.03	0.15	0.08	0.07	0.06	0.02
153	0.13	0.04	0.02	0.08	0.04	0.0	0.04	0.04	0.02	0.03	0.02
154	0.13	0.02	0.05	0.1	0.21	0.04	0.09	0.09	0.04	0.03	0.02
155	0.13	0.06	0.05	0.1	0.03	0.01	0.04	0.02	0.01	0.03	0.01
156	0.13	0.06	0.01	0.1	0.01	0.01	0.01	0.01	0.01	0.01	0.01
157	0.35	0.26	0.14	0.19	0.18	0.12	0.22	0.27	0.27	0.14	0.18
158	0.35	0.01	0.14	0.02	0.18	0.02	0.22	0.01	0.05	0.04	0.18
159	0.03	0.03	0.05	0.06	0.18	0.03	0.01	0.03	0.17	0.12	0.18
160	0.19	0.1	0.2	0.17	0.07	0.08	0.09	0.11	0.12	0.14	0.17
161	0.06	0.05	0.03	0.02	0.01	0.03	0.07	0.05	0.08	0.07	0.05
162	0.9	0.77	0.56	0.98	0.49	1.0	0.67	0.78	0.65	0.51	0.35
163	0.9	0.77	0.56	0.98	0.49	1.0	0.67	0.78	0.65	0.51	0.35
164	0.58	0.54	0.43	0.77	0.35	0.61	0.42	0.55	0.51	0.42	0.35
165	0.48	0.33	0.2	0.31	0.25	0.16	0.28	0.33	0.33	0.2	0.29
166	0.03	0.02	0.04	0.04	0.25	0.08	0.08	0.05	0.05	0.04	0.29
167	0.65	0.47	0.42	0.62	0.28	0.63	0.41	0.55	0.42	0.28	0.23
168	0.65	0.0	0.01	0.62	0.28	0.02	0.41	0.01	0.01	0.28	0.01
169	0.65	0.0	0.0	0.62	0.28	0.02	0.41	0.01	0.01	0.28	0.01
170	0.1	0.02	0.01	0.02	0.01	0.04	0.01	0.01	0.01	0.28	0.01
171	0.55	0.39	0.34	0.37	0.21	0.39	0.28	0.41	0.41	0.3	0.27
172	0.52	0.42	0.26	0.31	0.27	0.18	0.49	0.45	0.36	0.3	0.27
173	0.23	0.11	0.12	0.21	0.06	0.11	0.09	0.13	0.14	0.13	0.11
174	0.61	0.51	0.48	0.77	0.32	0.42	0.33	0.52	0.56	0.54	0.58
175	0.55	0.35	0.25	0.4	0.21	0.21	0.27	0.4	0.37	0.26	0.31
176	0.23	0.11	0.12	0.21	0.06	0.11	0.09	0.13	0.14	0.13	0.11
177	0.32	0.26	0.13	0.19	0.18	0.12	0.18	0.25	0.26	0.13	0.18
178	0.29	0.37	0.25	0.29	0.54	0.25	0.25	0.35	0.32	0.2	0.18
179	0.45	0.34	0.26	0.38	0.28	0.23	0.27	0.37	0.4	0.28	0.37
180	0.29	0.27	0.16	0.19	0.18	0.16	0.2	0.28	0.29	0.14	0.23
181	0.39	0.43	0.39	0.56	0.21	0.34	0.34	0.44	0.5	0.39	0.31
182	0.71	0.58	0.53	0.73	0.39	0.58	0.47	0.62	0.66	0.49	0.3
183	0.68	0.7	0.56	0.65	0.44	0.54	0.58	0.73	0.61	0.62	0.44
184	0.23	0.27	0.16	0.19	0.21	0.17	0.22	0.26	0.29	0.16	0.2
185	0.58	0.27	0.16	0.27	0.27	0.18	0.2	0.27	0.26	0.13	0.18
186	0.42	0.36	0.24	0.42	0.23	0.28	0.28	0.39	0.37	0.23	0.23
187	0.32	0.3	0.22	0.37	0.18	0.16	0.21	0.32	0.33	0.23	0.26
188	0.45	0.31	0.23	0.38	0.25	0.2	0.34	0.38	0.35	0.2	0.25
189	0.03	0.01	0.01	0.06	0.25	0.02	0.02	0.02	0.02	0.2	0.01
190	0.61	0.61	0.51	0.71	0.44	0.55	0.54	0.6	0.5	0.45	0.37
191	0.39	0.48	0.42	0.58	0.41	0.55	0.49	0.6	0.52	0.28	0.25
192	0.32	0.31	0.23	0.23	0.2	0.24	0.29	0.43	0.39	0.2	0.19
193	0.23	0.3	0.16	0.25	0.21	0.24	0.22	0.28	0.3	0.14	0.2
194	0.58	0.49	0.61	0.75	0.41	0.41	0.45	0.67	0.74	1.0	0.45
195	0.16	0.02	0.06	0.12	0.06	0.04	0.09	0.1	0.15	0.13	0.45
196	1.0	0.56	0.43	0.92	0.45	0.51	0.57	0.62	0.63	0.46	0.39
197	1.0	0.13	0.13	0.12	0.03	0.23	0.14	0.12	0.16	0.07	0.04
198	0.65	0.55	0.5	0.6	0.34	0.68	0.41	0.56	0.59	0.42	0.3
199	0.03	0.09	0.1	0.1	0.07	0.13	0.1	0.09	0.06	0.01	0.01
200	0.03	0.06	0.04	0.06	0.03	0.12	0.05	0.08	0.04	0.03	0.01
201	0.61	0.53	0.38	0.56	0.35	0.46	0.46	0.56	0.49	0.32	0.27
202	0.39	0.39	0.27	0.58	0.28	0.32	0.3	0.39	0.36	0.22	0.19
203	0.1	0.14	0.16	0.42	0.1	0.24	0.14	0.14	0.09	0.1	0.01
204	0.32	0.3	0.2	0.38	0.21	0.18	0.28	0.34	0.35	0.19	0.2
205	0.32	0.0	0.03	0.02	0.21	0.02	0.02	0.05	0.02	0.03	0.01
206	0.71	0.57	0.32	0.69	0.51	0.63	0.47	0.57	0.48	0.32	0.31
207	0.58	0.48	0.35	0.5	0.25	0.56	0.36	0.52	0.42	0.26	0.31
208	0.58	0.05	0.08	0.08	0.01	0.1	0.07	0.08	0.02	0.04	0.07
209	0.39	0.26	0.16	0.19	0.28	0.12	0.21	0.26	0.28	0.14	0.18
210	0.35	0.36	0.3	0.38	0.21	0.33	0.24	0.38	0.33	0.2	0.18
211	0.29	0.11	0.12	0.15	0.13	0.18	0.12	0.11	0.13	0.03	0.01
212	0.1	0.06	0.05	0.08	0.03	0.02	0.13	0.07	0.04	0.03	0.02
213	0.23	0.26	0.17	0.23	0.2	0.14	0.22	0.27	0.33	0.17	0.2
214	0.29	0.27	0.16	0.25	0.21	0.13	0.2	0.28	0.28	0.14	0.24
215	0.29	0.33	0.18	0.29	0.25	0.22	0.25	0.28	0.3	0.14	0.19
216	0.06	0.07	0.05	0.12	0.03	0.17	0.01	0.05	0.02	0.01	0.19
217	0.52	0.46	0.37	0.56	0.31	0.45	0.4	0.51	0.52	0.29	0.31
218	0.39	0.43	0.32	0.48	0.25	0.17	0.33	0.39	0.46	0.32	0.36
219	0.39	0.02	0.01	0.04	0.25	0.05	0.01	0.01	0.46	0.01	0.36
220	0.13	0.12	0.14	0.15	0.08	0.06	0.14	0.14	0.16	0.17	0.04
221	0.45	0.43	0.31	0.31	0.31	0.24	0.41	0.44	0.5	0.39	0.37
222	0.29	0.43	0.31	0.42	0.25	0.3	0.34	0.41	0.43	0.28	0.3
223	0.35	0.38	0.29	0.38	0.25	0.25	0.29	0.39	0.47	0.33	0.33
224	0.29	0.28	0.15	0.25	0.2	0.15	0.2	0.29	0.29	0.13	0.18
225	0.23	0.29	0.17	0.19	0.2	0.14	0.19	0.27	0.27	0.13	0.18
226	0.35	0.35	0.24	0.27	0.24	0.2	0.27	0.36	0.4	0.25	0.25
227	0.03	0.04	0.03	0.12	0.06	0.06	0.05	0.05	0.02	0.25	0.02
228	0.29	0.31	0.17	0.25	0.2	0.14	0.21	0.29	0.29	0.14	0.18
229	0.52	0.47	0.34	0.5	0.31	0.28	0.38	0.49	0.45	0.3	0.45
230	0.42	0.34	0.21	0.33	0.24	0.24	0.28	0.34	0.32	0.16	0.29
231	0.35	0.28	0.22	0.35	0.21	0.13	0.23	0.33	0.32	0.16	0.2
232	0.32	0.3	0.19	0.21	0.23	0.17	0.24	0.28	0.33	0.2	0.19
233	0.68	0.47	0.39	0.5	0.46	0.31	0.38	0.47	0.51	0.29	0.33
